Personen	NN	Person
du	PPER	du
zu	PTKZU	zu
reden	VVINF	reden
,	$,	,
du	PPER	du
bist	VAFIN	sein
um	APPR	um
fünf	CARD	fünf
Jahre	NN	Jahr
jünger	ADJD	jung
.	$.	.
FÜRST	NN	Fürst
.	$.	.
Um	APPR	um
sechs	CARD	sechs
.	$.	.
Aber	ADV	aber
fünfundfünfzig	CARD	fünfundfünfzig
,	$,	,
das	PDS	die
ist	VAFIN	sein
auch	ADV	auch
nicht	PTKNEG	nicht
mehr	ADV	mehr
der	ART	die
Frühling	NN	Frühling
des	ART	die
Lebens	NN	Leben
.	$.	.
Na	ITJ	na
–	ADJD	–
man	PIS	man
findet	VVFIN	finden
sich	PRF	sich
drein	PTKVZ	drein
.	$.	.
GRAF	NE	Graf
.	$.	.
Du	PPER	du
bist	VAFIN	sein
halt	ADV	halt
immer	ADV	immer
ein	ART	eine
Psycholog	NN	Psycholog
gewesen	VAPP	sein
,	$,	,
alter	ADJA	alt
Freund	NN	Freund
.	$.	.
FÜRST	NN	Fürst
.	$.	.
Im	APPRART	in
übrigen	ADJA	übrig
,	$,	,
ich	PPER	ich
weiß	VVFIN	wissen
wirklich	ADJD	wirklich
nicht	PTKNEG	nicht
,	$,	,
was	PWS	was
du	PPER	du
willst	VMFIN	wollen
.	$.	.
Schaust	VVFIN	schauen
famos	ADJD	famos
aus	PTKVZ	aus
.	$.	.
Er	PPER	er
setzt	VVFIN	setzen
sich	PRF	sich
.	$.	.
Wieder	ADV	wieder
Blick	NN	Blick
zur	APPRART	zu
Mansarde	NN	Mansarde
auf	PTKVZ	auf
,	$,	,
wie	KOUS	wie
manchmal	ADV	manchmal
.	$.	.
Pause	NN	Pause
.	$.	.
GRAF	NE	Graf
mit	APPR	mit
einem	ART	eine
Entschluß	NN	Entschluss
.	$.	.
Weißt	VVFIN	weißen
also	ADV	also
das	ART	die
Neueste	NN	Neueste
?	$.	?
Sie	PPER	Sie
heirat	VVFIN	heirat
'	$(	'
.	$.	.
FÜRST	NN	Fürst
.	$.	.
Wer	PWS	wer
heiratet	VVFIN	heiraten
?	$.	?
GRAF	NE	Graf
.	$.	.
Was	PWS	was
fragst	VVFIN	fragen
du	PPER	du
denn	ADV	denn
...	$.	...
kannst	VMFIN	können
dir	PPER	du
's	PPER	es
ja	PTKANT	ja
denken	VVINF	denken
.	$.	.
FÜRST	NN	Fürst
.	$.	.
Ach	ITJ	ach
so	ADV	so
,	$,	,
ich	PPER	ich
habe	VAFIN	haben
nämlich	ADV	nämlich
geglaubt	VVPP	glauben
,	$,	,
die	PRELS	die
Mizzi	NE	Mizzi
.	$.	.
Na	ITJ	na
ja	ADV	ja
,	$,	,
es	PPER	es
wär	ADJD	wär
'	$(	'
doch	ADV	doch
...	$.	...
Also	ADV	also
die	ART	die
Lolo	NE	Lolo
heiratet	VVFIN	heiraten
?	$.	?
GRAF	NE	Graf
.	$.	.
Ja	PTKANT	ja
,	$,	,
die	PRELS	die
Lolo	NE	Lolo
.	$.	.
FÜRST	NN	Fürst
.	$.	.
Aber	KON	aber
das	PDS	die
ist	VAFIN	sein
doch	ADV	doch
eigentlich	ADV	eigentlich
nicht	PTKNEG	nicht
das	ART	die
»	ADJA	»
Neueste	ADJA	neu
«	NN	«
.	$.	.
GRAF	NE	Graf
.	$.	.
Wieso	PWAV	wieso
?	$.	?
FÜRST	NN	Fürst
.	$.	.
Das	PDS	die
verspricht	VVFIN	versprechen
sie	PPER	sie
dir	PRF	du
doch	ADV	doch
,	$,	,
oder	KON	oder
droht	VVFIN	drohen
sie	PPER	sie
dir	PPER	du
,	$,	,
oder	KON	oder
wie	KOKOM	wie
man	PIS	man
sagen	VVINF	sagen
soll	VMFIN	sollen
,	$,	,
seit	APPR	seit
mindestens	ADV	mindestens
drei	CARD	drei
Jahren	NN	Jahr
.	$.	.
GRAF	NE	Graf
.	$.	.
Seit	APPR	seit
drei	CARD	drei
?	$.	?
Du	PPER	du
kannst	VMFIN	können
ruhig	ADJD	ruhig
sagen	VVINF	sagen
seit	APPR	seit
zehn	CARD	zehn
.	$.	.
Oder	KON	oder
seit	APPR	seit
