[	$(	[
Haarloken	NN	Haarloken
will	VMFIN	wollen
ich	PPER	ich
etwas	ADV	etwas
zusammen	ADV	zusammen
suchen	VVINF	suchen
.	$.	.
Viel	PIAT	viele
Umstände	NN	Umstand
bin	VAFIN	sein
ich	PPER	ich
dermalen	ADV	dermalen
nicht	PTKNEG	nicht
gewohnt	ADJD	gewohnt
zu	PTKZU	zu
machen	VVINF	machen
.	$.	.
Die	ART	die
Dames	NN	Dames
d'honneur	NN	d'honneur
logirn	NN	logirn
ein	ART	eine
wenig	PIAT	wenige
zu	PTKA	zu
weit	ADJD	weit
von	APPR	von
mir	PPER	ich
.	$.	.
Auch	ADV	auch
haben	VAFIN	haben
mir	PPER	ich
die	ART	die
leidige	ADJA	leidig
Würme	NN	Würme
–	ADJA	–
Ach	ITJ	ach
!	$.	!
ich	PPER	ich
kanns	VVFIN	kanns
Ihnen	PPER	Sie
gar	ADV	gar
nicht	PTKNEG	nicht
beschreiben	VVINF	beschreiben
,	$,	,
wie	KOKOM	wie
dumm	ADJD	dumm
es	PPER	es
hier	ADV	hier
ist	VAFIN	sein
–	NN	–
KÖNIG	NE	König
CAROMASKO	NE	CAROMASKO
.	$.	.
Hab	VAIMP	haben
ich	PPER	ich
mirs	ADJD	mirs
nicht	PTKNEG	nicht
eingebildet	VVPP	einbilden
,	$,	,
sie	PPER	sie
würde	VAFIN	werden
solches	PIAT	solche
Zeug	NN	Zeug
machen	VVINF	machen
.	$.	.
Sie	PPER	Sie
hat	VAFIN	haben
noch	ADV	noch
weniger	ADV	weniger
gelernt	VVPP	lernen
als	KOKOM	als
ich	PPER	ich
,	$,	,
denn	KON	denn
sie	PPER	sie
hat	VAFIN	haben
nichts	PIS	nichts
als	KOKOM	als
Moden	NN	Mode
erfunden	VVPP	erfinden
–	ADJA	–
Kommen	NN	Kommen
Sie	PPER	Sie
hervor	PTKVZ	hervor
wie	KOKOM	wie
Sie	PPER	Sie
sind	VAFIN	sein
.	$.	.
Der	ART	die
Wind	NN	Wind
streicht	VVFIN	streichen
übern	APPRART	übern
Hag	NN	<UNKNOWN>
,	$,	,
ich	PPER	ich
bin	VAFIN	sein
etwas	ADV	etwas
bloß	ADJD	bloß
,	$,	,
und	KON	und
meine	PPOSAT	mein
Knochen	NN	Knochen
raßlen	VVFIN	raßlen
.	$.	.
KÖNIGIN	NN	Königin
TRITINA	NE	TRITINA
mit	APPR	mit
zerfreßnen	ADJA	zerfreßnen
Haaren	NN	Haar
,	$,	,
Lumpen	NN	Lump|Lumpen
,	$,	,
verrosteten	ADJA	verrostet
Perlen	NN	Perle|Perlen
,	$,	,
zerrauften	ADJA	zerrauft
Blumen	NN	Blume
und	KON	und
Flitter-Staat	NN	Flitter-Staat
.	$.	.
Hu	NE	Hu
!	$.	!
wie	KOUS	wie
frisch	ADJD	frisch
mein	PPOSAT	mein
Herz	NN	Herz
!	$.	!
–	NN	–
Sie	PPER	Sie
sind	VAFIN	sein
nicht	PTKNEG	nicht
zum	APPRART	zu
Kennen	NN	Kennen
!	$.	!
KÖNIG	NE	König
CAROMASKO	NE	CAROMASKO
.	$.	.
Hab	NN	Hab
die	ART	die
Ehre	NN	Ehre
ein	ART	eine
gleiches	ADJA	gleich
Kompliment	NN	Kompliment
zu	PTKZU	zu
machen	VVINF	machen
.	$.	.
KÖNIGIN	NN	Königin
TRITINA	NE	TRITINA
.	$.	.
Aber	KON	aber
wo	PWAV	wo
bleiben	VVFIN	bleiben
Sie	PPER	Sie
so	ADV	so
lange	ADV	lange
;	$.	;
oder	KON	oder
vielmehr	ADV	vielmehr
sollt	VMFIN	sollen
'	$(	'
ich	PPER	ich
fragen	VVFIN	fragen
,	$,	,
wo	PWAV	wo
kommen	VVFIN	kommen
